k,inertia,silhouette,calinski_harabasz,davies_bouldin
3,111973.97335474713,0.25061926305697263,1605.0854957869376,1.5968478227434695
4,99061.93984229014,0.19767919652287647,1598.0768763697033,1.5748369902985795
5,91490.49803950504,0.19311230479899416,1482.6681873179418,1.5492038693827528
6,84826.59203083461,0.20286011584987834,1419.6993638910462,1.5064220213928046
7,79506.95829761913,0.21517317024270927,1361.823873725015,1.3968758899719724
8,74484.88006180586,0.2216984741387776,1331.9734431718412,1.369689019379109
9,69828.69926874826,0.22603401853576205,1317.5722276142499,1.2942682783577035
10,66442.17959166644,0.2237171446525012,1281.3612597023116,1.3282608124617297
11,63615.00138263413,0.21630348305544653,1244.0749666794918,1.3289674767178747
12,61334.71867611324,0.21643705689585657,1203.0958262425218,1.3526934584352208
13,59127.41421585276,0.21916192996314787,1171.682741102678,1.3992858874512377
14,57476.27010772146,0.219422524058955,1132.2523615490722,1.390136694775918
15,55804.72191027283,0.198964086865061,1101.8610413761332,1.3850626641782218
